Voltage_kv,Struct_type,struct_code,Case,Conductor_type,Conductor_code,Conductor_kcm,Conductor_kcm2,bundling,Groundwire_type,Groundwire_code,r1_ohm_mile,x1_ohm_mile,b1_us_mile,sil_MW
230,H frame,2H1_PVOGTLE,S,ACSR,Grosbeak,636,700,1,Alumoweld,7/7,0.17423820286646513,0.8028131085990846,5.321402745375146,136.19510822190716
230,H frame,2H1_PVOGTLE,M,ACSR,Drake,795,850,1,Alumoweld,7/7,0.13991820286646517,0.7901411085990846,5.414610996605064,138.47997415556736
230,H frame,2H1_PVOGTLE,L,ACSR,Cardinal,954,1000,1,Alumoweld,7/7,0.11827020286646507,0.7801091085990849,5.482405337136956,140.23730864893267
345,Lattice,3L2,S,ACSR,Bluebird,2156,2200,1,Alumoweld,7/7,0.057127271267236324,0.7919131358632951,5.439159975902429,311.9358808262433
345,Lattice,3L2,M,ACSR,Bobolink,1431,1400,2,Alumoweld,7/7,0.04128727126723637,0.6085571217427541,7.042111062037236,404.89177129975536
345,Lattice,3L2,L,ACSR,Bluebird,2156,2200,2,Alumoweld,7/7,0.029407271267236385,0.595185121742754,7.201415916818863,414.0197932252318
500,Lattice,5L4,S,ACSR,Bluebird,2156,2200,2,Alumoweld,7/7,0.02968956246639827,0.5897748132082659,7.250040597696262,876.5306705869195
500,Lattice,5L4,M,ACSR,Bittern,1272,1300,3,Alumoweld,7/7,0.03188956246639825,0.5354628085014188,7.961753033276794,964.0059266137691
500,Lattice,5L4,L,ACSR,Falcon,1590,1500,3,Alumoweld,7/7,0.026609562466398215,0.5287748085014187,8.047210761293332,975.2755087924328
765,Lattice,7L1,S,ACSR,Rail,954,900,4,Alumoweld,7/7,0.031860986663454716,0.5385524746816209,7.919346916982093,2244.158575191817
765,Lattice,7L1,M,ACSR,Bluejay,1113,1100,4,Alumoweld,7/7,0.02790098666345467,0.5363084746816209,7.958465341516986,2254.395999592516
765,Lattice,7L1,L,ACSR,Falcon,1590,1300,4,Alumoweld,7/7,0.020904986663454708,0.5293124746816209,8.053339003717875,2282.731312325541
